Job_position,Company,requirements,rating,posting_frequency,avg_yearly_sal,work_category,net_experience,education_level,job_title,State,Cities,job_descr_len
net developer,transitus nexgen innovative solution llp,net developer minimum year experience part new product development team net framework using c language,3.740000009536743,1,700000.0,0,2.9200000762939453,0,0,10,2,102
startup search engine developer python,startus insight,total work year required profound understanding software development principle regular visit hq vienna company hot spot,3.950000047683716,112,762694.5,0,3.0,1,0,38,1222,119
backend developer intern,ezyschooling,working front end web technology like html cs javascript communicate team member front end building using restful apis,3.809999942779541,1,90000.0,0,1.3899999856948853,0,0,32,1,118
mdm developer,apptad technology private limited,experience mdm hub development component cleanse security package query hierarchy management etc software development year preferred,4.090000152587891,2,1250000.0,0,2.380000114440918,0,0,38,1222,132
xamarin ai machine learning developer,ani call india private limited,artificial intelligence machine learning implementation hand experience xamarin visual studio gitlab,3.819999933242798,50,1350000.0,0,1.7100000381469727,0,0,23,4,100
junior full stack developer,tresbien hr company,rest api micro service year required aws cloud service data modelling year required api gateway api development year required,3.4600000381469727,1,550000.0,0,3.0,0,0,13,0,125
net full stack developer,transdyne service pvt ltd,design develop maintain new existing code ranging client side development using javascript html cs server side code using c,3.8,1,1500000.0,0,3.259999990463257,0,0,23,4,123
sr website ui designer,iba infotech inc,exciting new opportunity ui designer ui designer exciting role ideal jump start career software design,3.9100000858306885,19,360000.0,0,6.0,0,0,26,63,102
business analyst,ine,ine uk london based management consultancy supporting school around world technology related risk compliance solution,3.009999990463257,45,300000.0,0,3.740000009536743,0,0,13,7,117
digital fine artist illustrator year exp,team qore management india private limited,must creative posse extensive knowledge software including adobe photoshop illustrator candidate must embrace passion sanatana,3.7200000286102295,80,286620.0,0,2.859999895095825,0,0,22,5,126
junior software developer,gather network,actively looking fresher want start career blockchain technology extreme desire work closely industry,4.059999942779541,1,240000.0,0,2.5999999046325684,0,0,7,47,101
laravel developer,dizee technology,software development year preferred looking larval php developer noida office job type full time walk,4.190000057220459,1,650000.0,2,1.6100000143051147,0,0,26,63,101
manager delivery permanent domestic recruitment,coms,carry boarding formality process selected candidate ensure documentation done per client internal practice,3.7,7,1750000.0,0,2.299999952316284,0,0,38,1222,106
ux ui designer,tama business solution,join create website design convert html cs convert design standard xhtml cs create wireframes prototype based site map,3.440000057220459,37,138000.0,0,2.6700000762939453,0,0,22,5,118
android developer year,weboconnect technology pvt ltd,experience developing high quality android application experience least application past experience security software solution,4.0,1,263946.0,0,1.0,0,0,32,1,126
embedded software engineer,daikoku innovation llp,experience hand development troubleshooting embedded target total work year preferred proven working experience software engineering,4.150000095367432,1,525000.0,0,2.299999952316284,0,0,10,2,132
human resource manager,squared architect pvt ltd,checking travel tour expense contractor bill record relevant software timely credit amount employee account,3.9800000190734863,4,180000.0,0,2.5,0,0,11,57,107
ml engineer,rejolut technology solution,hiring organization rejoluit technology solution pvt ltd looking highly dynamic motivated energetic individual huge learning,3.809999942779541,3,400000.0,0,3.4800000190734863,0,0,13,0,124
database administrator developer,sertel freelancing firm,setup maintain documentation standard design configure resolve problem database related application opening position,3.7699999809265137,1,210000.0,0,1.850000023841858,0,0,13,7,116
software engineer,amli network,solid understanding full software development life cycle experience working remote data via rest json svn git repository knowledge,4.059999942779541,1,2100000.0,1,2.7899999618530273,0,0,10,2,130
ui developer,business thrust techsoft pvt ltd,develop technical business requirement always strive deliver intuitive user centered solution optimize existing user interface design,5.0,1,626904.0,0,2.200000047683716,0,0,26,63,133
c developer,cks solution,b degree computer science engineering proven experience software design ood methodology sanitising disinfecting cleaning procedure,3.509999990463257,383,750000.0,0,3.9100000858306885,0,0,11,57,130
php web developer,shadow technology,company working web mobile apps looking senior php developer work part time basis looking someone work task basis project basis candidate year experience skill php mysql ci laravel rest apis gitthere following responsibility work website web applicationsto work rest apisci laravelto work assigned tasksto assist junior developershould able work complex requirementsthe candidate available office hour expert handle complex requirement disciplined hard working job type part time regular permanent contractual temporarycontract length monthspart time hour per weeksalary per hourbenefits work homeschedule day shiftflexible shiftmonday fridaysupplemental pay performance bonuseducation bachelor preferred experience php year preferred license certification php preferred,4.210000038146973,1,594000.0,0,3.0,1,2,7,47,770
executive,selling simplified india pvt ltd,one bachelor degree diploma computer science electronics communication minimum technical training certification preferred mcsa redhat ccna,3.0,1,263022.0,0,3.0,1,0,26,63,138
angular developer,codestore technology,responsible development new highly responsive new user facing feature using angular looking angular developer experience front,4.03000020980835,2,750000.0,0,3.0,1,0,26,63,126
senior laravel developer,beeone uk ltd,bee one uk ltd bee one provides never unique platform get access different price comparison website save money,4.28000020980835,50,570000.0,0,2.0,0,0,11,67,110
associate software developer,muziris softech pvt ltd,total work year required,3.9800000190734863,2,390000.0,0,1.0,1,0,11,67,24
full stack web developer,ienterprises,practical experience business application software development experience front end back end software development,3.8499999046325684,79,450000.0,0,3.0,0,0,11,67,113
php laravel developer,lawrbit lextech india pvt,responsibility dutiesjob summarywe looking add confident experienced php developer expanding team looking someone afraid bring new idea table autonomous role get plenty opportunity learn new tool deep knowledge latest version laravel along confident laravel developer also skill experience working front end development deep capability laravel bootstrap javascript job description delivery high quality efficient code improving overall quality application speed new feature delivery communicate effectively team member stakeholder able work effectively part team sharing knowledge experiencerequirementsfamiliar sql php web framework laravel develop execute end end integration apis good attitude responsible disciplined constant self initiated learning new technology energetic fresher encouraged applyeducation b e b tech bca mca diplomasexperiencephp yearslaravel year preferred job type full time regular permanentpay per yearbenefits leave encashmentpaid sick timepaid time offprovident fundschedule day shiftsupplemental pay performance bonuseducation bachelor preferred,4.829999923706055,1,350000.0,2,2.119999885559082,1,0,20,8,1076
technical lead software,aman aviation,preferred specialization artificial intelligence neural network programming machine learning gui system packaging front end hardware integration,3.7699999809265137,15,460000.0,0,2.880000114440918,0,0,13,0,144
php web developer fresher,www dixinfotech com,candidate must done month training php mysql database knowledge query join relational database design expected start date,3.8299999237060547,1,90000.0,0,2.5799999237060547,1,0,7,25,121
recruiter hr executive,rookiesworld,job type full time contract total work year preferred,4.039999961853027,1,222000.0,2,2.9600000381469727,0,0,10,2,53
front end developer,siterecon,build scalable web application using reactjs redux related library solid understanding developing rich application using javascript html,3.490000009536743,1,700000.0,0,2.140000104904175,0,0,26,63,136
asp net developer,upkarak tech solution pvt ltd,year total work experience good knowledge singe page application server javascript framework good working knowledge,3.559999942779541,87,354000.0,0,1.0,0,0,29,43,115
ui ux designer,lunavo lab,created ecosystem talent spread across geography agile design development process create software delivers value,4.5,1451,288000.0,0,1.0,1,0,38,1222,112
web developer,telematics wire,looking outstanding web developer responsible coding innovative design layout updation website requirement knowledge php html cs javascript relevant coding languagesemail flyer circulationseo analytical knowledgewordpress website updationphp website design development updationback file website local directory recoveryevaluating code ensure meet industry standard valid properly structured compatible browser device operating systemsjob type full time regular permanentsalary per yearschedule monday fridayapplication question know language html php javascript education bachelor preferred,3.6500000953674316,1,250000.0,2,2.059999942779541,1,0,26,63,590
io developer,rv technology software pvt ltd,rv technology looking io developer minimum month experience iphone app development swift objective c,4.9,1,390000.0,0,1.75,0,0,19,265,100
field sale executive,inscol healthcare pvt ltd,planning management activity company erp software responsibility requires develop short medium term,3.2,35,300000.0,0,3.1600000858306885,0,0,19,34,99
jr software engineer trainee,amcat,candidate keen learn work latest technology looking stable secured platform training probation period month,4.190000057220459,7,204000.0,0,2.6600000858306885,0,0,7,47,107
business development executive sale,webindia master,identify new opportunity quality potential lead revenue generation advertising monetization vertical company,3.6,37,180000.0,0,1.9299999475479126,0,0,38,1222,108
software developer,cputek private limited,looking recruit software developer company need join immediately work home nowthe person must experience software development web application proven experience software developer software engineer similar rolefamiliarity agile development methodologiesexperience software design development test driven environmentknowledge coding language e g c java javascript php framework system e g angularjs git experience database object relational mapping orm framework e g hibernate job type full time regular permanentsalary per monthschedule day shifteducation bachelor preferred experience net year preferred total work year preferred java year preferred,4.119999885559082,1,360000.0,2,1.0,1,0,27,6,649
sr software developer,taxi india,leading application integration design code quality issue project driving supporting software platform selection process,3.7300000190734863,1,480000.0,0,2.5399999618530273,0,0,7,47,120
full stack php web developer,numinix web development ltd,mentoring junior front end back end developer advanced developer related keywords full stack developer java developer software developer,3.9100000858306885,82,831600.0,0,2.009999990463257,0,1,13,0,136
android developer,spido,android app developer work team talented engineer design build next generation mobile application,3.859999895095825,1,510000.0,0,1.2000000476837158,0,0,7,47,97
urgent requirement python developer,dhyanahitha organization,job summaryshould strong knowledge python candidate knowledge technology like machine learning django advantage understanding assessing individual group training requirement execute workshop create awareness latest technology date knowledge skill software package problem solving skill designing course module appropriate skill needed helping professional updating skill latest technology evaluating every individual progress outcome able develop website job type full time regular permanentsalary per monthschedule day shifteducation bachelor preferred experience python year preferred total work year preferred work remotely yes,3.950000047683716,1,240000.0,2,1.0,1,0,23,4,630
php developer,floatingchip internet technology,requirement year proven software development experience php troubleshoot test maintain core product software database ensure,3.9600000381469727,114,150000.0,0,2.930000066757202,0,0,27,6,124
software developer,fbiv infocomm pvt ltd vfast,must full stack developer understand concept software engineering ability develop unit testing code component complete application,3.7100000381469727,2,300000.0,0,1.8300000429153442,0,0,26,63,130
web designer experience year,adaired digital medium pvt ltd,proficiency graphic design software including adobe photoshop adobe illustrator visual design tool conceptualizing creative idea client,3.6600000858306885,88,246000.0,0,1.7100000381469727,0,0,19,265,135
lead data architect machine learning ai,ani call india private limited,building efficient storage structured unstructured data transform aggregate data using data processor technology,3.609999895095825,50,1500000.0,0,2.7200000286102295,0,0,23,4,112
website developer seo,hilltop stone,proficiency graphic design software including adobe photoshop adobe illustrator visual design tool minimum year experience required,4.070000171661377,1,330000.0,0,3.0,0,0,10,2,131
php developer,rewa infotech,software development year preferred php mysql laravel javascript jquery html cs experience year job type full time walk,3.940000057220459,113,18500.0,2,2.1500000953674316,0,0,12,14,119
project research assistant embedded gui firmware engineer,betic iit bombay,work environment provides considerable scope learning networking project betic iit bombay leading centre medical device,3.5399999618530273,2,480000.0,0,2.059999942779541,0,0,13,0,119
senior software engineer,inncrewin technology,first foremost developing software user need ability prioritize well communicate clearly consistent track record delivery,3.8,1,1069911.0,0,5.0,0,0,10,2,121
u non recruiter,softcom system inc,maintaining internal data base consultant per skill set minimum exp required month year total work year preferred,4.090000152587891,10,240000.0,0,2.9000000953674316,0,0,23,4,113
node j developer,synergylabs,synergylabs specialized artificial intelligence solution provider focused artificial intelligence deep learning solution team industry expert conducting research consulting domain partner client design delivery ai deep learning journey artificial intelligence computer vision machine learning deep learning system implement proactively aligned latest industry requirement serve corporation ranging startup fortune algorithm manpower design team year cumulative experience field artificial intelligenceyou love working team highly skilled people keen learner enjoying sharing experience various technology framework approach delivery able articulate idea colleague effectively take board idea others thrive faced new challenge constantly look improve synergylabs work software engineer build part team solves world toughest challenge using latest technology including ai dl ml blockchain create robust solution easy deploy delight operate url http synlabs io job description looking highly capable node j developer optimize web based application performance collaborating front end application developer designing back end component integrating data storage protection solution ensure success node j developer posse extensive knowledge node j based service experience similar role accomplished node j developer someone whose expertise result stable fast secure exchange data server end user node j developer responsibility expertise designing back end application node jsexperience design development full stack application using one j framework like reactjs good architectural design skill strong coding data structure algorithm skillsproactive delivery focused strong knowledge javascript node j reactjs dom concept j framework working agile framework especially absolutely necessaryorganizational leadership abilitiesexcellent communication skillsproblem solving aptitudejob type full time regular permanentsalary per yearschedule day shifteducation bachelor preferred experience node j year required,3.490000009536743,2,800000.0,2,1.0,1,0,38,1222,2002
software developer junior fresher,retail customer consulting,microsoft luis chat voice bot good must good development code knowledge job type full time fresher,3.640000104904175,1,240000.0,2,2.140000104904175,0,0,10,2,98
web developer,classhose india pvt,job briefwe looking web developer responsible designing coding modifying website layout function according client specification responsibility candidate must strong understanding ui cross browser compatibility general web function standard position requires constant communication colleague experience planning delivering software platform used across multiple product organizational unit strong grasp security principle apply e commerce applicationsrequirements adequate knowledge relational database system object oriented programming web application developmentsolid understanding web application work including security session management best development practicesaggressive problem diagnosis creative problem solving skillsjob type full time regular permanentsalary per monthschedule morning shiftsupplemental pay performance bonuscovid consideration candidate required wear mask social distancing office ability commute relocate gomti nagar lucknow uttar pradesh reliably commute planning relocate starting work required education bachelor preferred experience cs year preferred total work year preferred html year preferred speak employer xxxxxxxxxx,3.809999942779541,1,222000.0,2,1.0,1,0,26,10,1157
software developer,dominancetech solution pvt ltd,net developer sql msbi additional knowledge candidate must year experience able relocate pune,4.489999771118164,1,1080000.0,0,1.8600000143051147,0,0,13,7,93
network engineer l ebixcash pvt ltd belapur,trimax infrastructure service ltd,tech computer science electronics engineering information technology mca certification minimum ccnp knowledge sdwan,3.5,2,462500.0,0,2.4800000190734863,0,0,13,0,115
code igniter developer,iba infotech inc,code igniter developer php code igniter developer specialized developing web application using code igniter framework within php programming language,4.010000228881836,19,510000.0,0,2.140000104904175,0,0,26,63,149
senior accountant,fine energy additive,generating invoice gst b effective use gst functionality tally using filing gst return gstr gstr b gstr,3.640000104904175,46,240000.0,0,1.0,1,0,0,1016,103
php developer,php crm,software development year preferred proficient web application development using core php solid understanding php magento wordpress node j,4.510000228881836,1,360000.0,0,3.2799999713897705,0,0,26,63,138
sr php codeignitor developer yr exp,lunavo lab,u lunavo lab u based remote software product experience company headquartered sandiego california bunch technology,4.5,1451,360000.0,1,5.019999980926514,0,0,38,1222,114
android developer min year exp,wisdomlogix solution pvt ltd,extensive experience developing android apps kotlin java candidate must work experience working android developer candidate degree,5.0,12,300000.0,0,2.0,0,0,6,21,130
digital marketing analyst,turing,digital marketing analyst email marketing specialist primarily focused creating managing delivering successful email campaign,3.119999885559082,36,600000.0,0,1.9800000190734863,0,0,38,1222,125
academic counselor data science machine learning bank e,skill monk,acting career advisor mentor program handled understanding profile prospect understanding skill need prospect probing educating,4.090000152587891,1,390000.0,0,1.4600000381469727,0,0,23,4,127
senior php developer,dcg infotech pvt ltd,software development year preferred software development year preferred previous working experience php developer year,3.819999933242798,18,192000.0,0,2.549999952316284,0,0,13,7,118
c developer,origami software pvt ltd,significant experience stl designing developing large software system linux unix environment excellent object oriented design skill,3.380000114440918,1,1059297.5,0,2.5299999713897705,0,0,10,2,131
ui ux designer yr experience,lunavo lab,date knowledge design software tool like adobe illustrator photoshop figma passionate executing product agile lean,4.5,1451,318000.0,0,3.1600000858306885,0,0,38,1222,114
sr sdet engineer,minebrat pvt ltd,activity task within agile software development method adhering experience working aws managed service,3.8299999237060547,8,870680.0,0,2.1700000762939453,0,0,10,2,102
ux ui web application developer frontend developer,cartrabbit,candidate least year working experience javascript react jquery boostrap html cs saas html cs year required,3.5,76,205000.0,0,1.9800000190734863,0,0,22,37,107
full stack developer,alterfin cv,building top existing crm framework developing new module help facilitate business process within alterfin,3.5199999809265137,1,1250000.0,0,3.359999895095825,0,0,10,2,106
sponsored phd student,sgrp mgrp project associate search,prior experience e g course project etc machine learning deep learning survey state art machine learning including rl deep rl,3.6500000953674316,1,360000.0,0,2.25,0,0,32,1,125
technical sale executive,vrlab technology,experience crm software e g salesforce technical position knowledge software development life cycle process software,3.7300000190734863,1,400000.0,0,1.5299999713897705,0,0,13,7,116
jr quality analyst,cyperts digital solution pvt ltd,web mobile manual testing manual testing database knowledge able work functional manual stlc requirement understanding,3.2699999809265137,1,156000.0,0,2.7699999809265137,0,0,13,7,118
seo analyst,royal next international academy pvt ltd,web developer full stack developer social medium marketing executive educational institute saidapet chennai job type full time walk,4.0,40,242112.0,2,1.9600000381469727,0,0,22,5,131
mern stack developer,whitelion system pvt ltd,developer work team talented engineer design build next generation application apis job type full time walk,3.6600000858306885,1,330000.0,2,1.6299999952316284,0,0,6,9,107
ar caller andheri,tiara consultancy service,location andheri temporarily work home laptop connection mandatory excellent communication skill required graduate hsc minimum year ar,3.380000114440918,71,258000.0,0,4.25,3,0,13,0,134
desktop support engineer,sree bharath computer,desktop support year preferred,3.2300000190734863,29,168000.0,0,3.880000114440918,0,0,22,1222,30
react native developer,viamagus technology pvt ltd,year solid react native experience responsibility include creating performant mobile apps android io using react native product,3.5199999809265137,9,475000.0,0,1.7400000095367432,0,0,10,2,127
software developer,xpheno,experience api design ability architect implement intuitive customer third party integration story expertise j ee server technology,3.390000104904175,7,1150000.0,0,1.25,0,0,26,63,131
startup search engine developer python,startus insight,profound understanding software development principle year work experience big data data engineering dag stateful stream processing data,4.03000020980835,112,762694.5,0,3.0,1,0,38,1222,136
content developer financial literacy kid teen,education x,create financial literacy content kid age deck creation range r topic basic accounting knowledge debit credit,4.210000038146973,1,500000.0,0,1.0,1,0,32,1,109
web developer trainee,coderope,quick learner great attitude willing learn new technology basic knowledge html javascript cs php angular,3.5199999809265137,1,180000.0,0,2.390000104904175,0,0,26,10,104
senior software developer,waobe,year experience web application development designing experience apache web server administration configuration linux environment experience php mysql html cs xml javascript json jquery ajax content management system lamp technology web service mvc framework cron management strong command leading framework team like angular j bootstrap j react j node j excellent knowledge experience m sql server sql server mongo db job type full time regular permanentsalary per monthbenefits flexible schedulework homeschedule rotational shiftsupplemental pay yearly bonuseducation bachelor preferred experience angular year required,3.200000047683716,1,630000.0,2,3.0,1,0,38,1222,621
software developer,kalki automation pvt,software developer knowledge visual studio net c xamarin experiance added adavantage working telerik platform prepared job type full time regular permanentsalary per yearschedule day shiftability commute relocate coimbatore coimbatore tamil nadu reliably commute planning relocate starting work preferred education bachelor preferred experience c year preferred xamarin year preferred expected start date,3.740000009536743,1,279792.5,2,1.0,1,0,22,37,404
software engineer wordpress developer,dars innovation private limited,customizing wordpress theme development based design provided good hand experience wordpress like developing plugins theme,3.609999895095825,1,300000.0,0,2.2899999618530273,0,0,26,63,122
software support implementation engineer,bizkracks technology,configure implement erp software client premise per defined scope co ordinate implementation technical lead,4.420000076293945,1,210000.0,0,1.0,1,0,11,67,107
spring boot developer,shivit technology pvt ltd,java developer fresher responsible many duty throughout development life cycle application concept design right testing,4.170000076293945,3,66000.0,0,1.600000023841858,0,0,26,63,119
technical content writer seo keyword year,turing,turing offer wide range long term full time remote job full stack development web mobile backend frontend dev ops ai ml developer,3.200000047683716,36,300000.0,2,2.5199999809265137,0,0,38,1222,129
sr full stack mobile app developer year experience,lunavo lab,created ecosystem talent spread across geography agile design development process create software delivers value,4.5,1451,780000.0,0,6.0,1,0,38,1222,112
software engineer,appfoster innovation pvt ltd,develop implement new software program test maintain software product ensure strong functionality optimization must quick learner,3.609999895095825,4,320000.0,0,1.5700000524520874,0,0,26,63,129
software engineer,honeybee technology,candidate ust knowing angular java work time pm hr job type part time commission,3.630000114440918,2,330000.0,0,2.049999952316284,0,0,38,1222,80
trainee software developer,zakapps software pvt ltd,testing skill added advantage opportunity fresher join extremely competitive team player candidate bachelor degree computer,3.5199999809265137,1,350000.0,0,2.5,1,0,22,5,123
software developer,emlink technology,experience jquery javascript framework salary negotiable based experience knowledge minimum year experience,3.700000047683716,1,540000.0,0,2.0,0,0,23,4,107
servicenow developer,openlm,keen learn new technology tool set experience developing servicenow scoped application experience using servicenow rest api acls data policy,3.740000009536743,8,1020000.0,0,1.75,0,0,27,6,140
html developer,axis ecorp,job description coding entire html site end end debugging code front end web application ensuring cross platform compatibility troubleshooting application error conducting website performance usability test meeting publication deadline required candidate profilein depth knowledge front end coding language including html cs javascript ability troubleshoot coding application error knowledge web design user application requirement job type full time regular permanentsalary per monthbenefits cell phone reimbursementschedule day shiftsupplemental pay yearly bonuseducation bachelor preferred experience cs year preferred total work year preferred html year preferred speak employer xxxxxxxxxx,3.0799999237060547,1,210000.0,2,1.0,1,0,26,63,693
trainee software engineer,teknowmics knowledge solution,urgently hiring fresh mca graduatesgood coding skillwell versed programming languagesjob type full timesalary per monthschedule morning shifteducation bachelor preferred,4.7,1,270000.0,2,2.1600000858306885,3,0,11,67,169
dot net developer,fervour infosystem pvt ltd,urgently looking dot net developer profile job type full time contract salary per month,4.0,2,887028.0,2,2.890000104904175,0,0,26,63,87
software developer,software development engineer,software development year preferred working experience mvc window service understand requirement stakeholder feasibility study,3.509999990463257,1,240000.0,0,1.4600000381469727,0,0,36,1222,126
field sale executive,inscol healthcare pvt ltd,planning management activity company erp software urgent requirement field sale executive inscol,3.2,35,300000.0,0,3.549999952316284,0,0,19,34,96
software engineer,itechmanage,job experienced candidate fresher please apply please fill short form apply job http form gle rpt opvscssmqbw note form mandatory considered job job company product based company building application platform business application sharepoint office hiring young talented individual looking career learn grow create impact future business application software development engineer building business application framework application work learn many new technology including window server sql server office sharepoint active directory required skill good knowledge web technology microsoft net good aptitude problem solving skillsnice experience microsoft sharepoint good written spoken english communication skillshttp www itechmanage comjob type full timepay per yearbenefits health insuranceschedule day shifteducation bachelor preferred experience total work year required,3.740000009536743,1,955783.0,2,1.0,1,0,23,4,873
trainee oracle software developer,oges infotech,remmunatations paid training period monthly fixed salary basis good english language communication skill must,3.819999933242798,2,81000.0,0,2.009999990463257,1,0,11,67,109
sr php developer,jatin verma ia academy,integration data storage solution proven software development experience php integration multiple data source database one system,4.46999979019165,2,300000.0,0,1.659999966621399,0,0,32,1,129
python developer,pinnacle digital analytics pvt ltd,must work independently project using python must hand working experience numpy,4.050000190734863,1,540000.0,0,1.3300000429153442,0,0,32,1,79
front end developer intern,skill lync,proven work experience front end developer sanitising disinfecting cleaning procedure place position requires experienced ambitious,3.559999942779541,31,216000.0,0,3.0899999141693115,0,0,22,5,131
software developer vba,phaidelta,software developer responsible working consulting team provide excel automation using m vba strong m vba automation,3.759999990463257,22,350000.0,0,1.0,0,0,5,335,115
residence network engineer,sri sai solution,total work year preferred,3.359999895095825,5,237246.0,0,3.819999933242798,0,0,23,4,25
associate software engineer,green apple solution,develop scalable robust simple web based solution solve complex business problem passion improving education technology,3.140000104904175,3,240000.0,0,2.819999933242798,0,0,32,1,119
web developer php frontend wordpress,appycodes,building web application using php mysql development frontend web application using modern responsive framework,3.930000066757202,5,234000.0,0,2.4200000762939453,1,0,27,1222,111
legal advisor intellectual property,lunavo lab,passionate executing product agile lean process work create product experience drive result,4.5,1451,240000.0,0,2.0999999046325684,0,0,38,1222,91
flutter developer,techiejunky,create multi platform apps io android using flutter development framework mobile application year preferred flutter widget io android,3.630000114440918,1,210000.0,0,1.809999942779541,0,0,26,63,133
java j ee developer,ksap technology inc,software development year required involved aspect software delivery including analysis requirement gathering design,3.549999952316284,1,900000.0,0,3.0,0,0,32,1,116
full stack developer,appnexus technology pvt ltd,full software development lifecycle experience passion technology engineering world class solution total work year preferred,3.7899999618530273,3,482457.5,0,1.690000057220459,0,0,26,63,124
php developer fullstack experience laravel wordpr,cartrabbit,cartrabbit offer excellent working environment exciting challenge product building opportunity experience react given preference,3.680000066757202,76,270000.0,0,1.6100000143051147,0,0,22,37,128
software developer,alpha tune,software development year preferred software developer proficiency python job type full time commission total work year preferred,4.090000152587891,1,689069.5,2,1.2000000476837158,0,0,7,47,129
web app developer,imagic creatives pvt ltd,software commonly used touch screen kiosk display job type full time walk salary per month,3.640000104904175,1,300000.0,2,2.390000104904175,0,0,10,2,90
computer vision engineer,intellect design arena limited,intellect design arena global leader financial technology banking insurance financial service computer vision year required,3.8,1,3000000.0,0,4.489999771118164,0,0,22,5,123
java software developer year,dreamsol telesolutions pvt ltd,ability convert business requirement object oriented design code using java j ee technology defining development standard object oriented,4.110000133514404,4,330000.0,0,1.0,0,0,26,63,137
opportunity backend developer,blue infotech,develop test implement maintain application software conduct software programming testing debugging good java development experience,3.5999999046325684,11,5500000.0,0,2.4000000953674316,0,0,10,2,132
full stack developer,fbiv infocomm pvt ltd vfast,must full stack developer understand concept software engineering ability develop unit testing code component complete application,3.890000104904175,2,360000.0,0,2.309999942779541,0,0,26,63,130
tibco spotfire developer,e consulting,software development year required teradata knowledge teradata sql join data analysis work timing p p mon fri,3.0199999809265137,2,850000.0,0,2.0,0,0,13,0,109
senior accountant,ca rutuja jain,experience working erp plus mandatory training provided assisting internal ca external ca c tax statutory,3.569999933242798,4,270000.0,0,2.0,0,0,13,7,105
senior software developer,ict india pvt ltd,brisbane based position allow successful candidate gain exposure new current technology positive attitude team player,4.019999980926514,1,1350000.0,0,1.3600000143051147,0,0,7,47,117
sr sql developer,visulon technology india,work m sql server performance tuning indexing schema design stored procedure function database object good knowledge database design,4.199999809265137,10,600000.0,0,3.0,1,0,13,7,132
plsql mssql developer,exponentia data lab,develop design test implement complex database program using oracle microsoft third party tool total work year required,4.199999809265137,1,950000.0,0,4.0,1,0,13,0,119
urgent opening power bi specialist work home,avantha technology limited,perform full range advanced analytics visualization methodology technique output focus power bi,4.2,1,1200000.0,0,2.569999933242798,0,0,7,47,95
engineer trainee,infocom digital pvt ltd,follows process deliver task support team designing new approach methodology modelling comprehensive dashboard understands,3.7799999713897705,1,246000.0,0,2.7200000286102295,0,0,32,1,122
reactjs developer,emerald solution,writing application interface code using javascript following react j workflow developing implementing highly responsive user interface component using,3.7200000286102295,2,222000.0,0,1.8200000524520874,0,0,6,3,151
software developer,seltam technology solution pvt ltd,implement security data protection solution hiring fresher experienced candidate python development salary per month,3.880000114440918,1,120000.0,0,1.0,0,0,22,5,116
php laravel developer,cimet vconnex pvt,vconnex pvt ltd jaipurcimet comparison software leadercimet australian company provides comparison service many brand australia mission help customer live financial best save everyday utility job descriptionwe looking php laravel developer build web application company role design create project using laravel framework php assist team delivering high quality web application service tool business responsibility year experience core php mvc based framework laravel must candidate must good hand client end technology like xhtml cs javascript candidate must good proficiency oops concept agile methodology develop record maintain cutting edge web based php application portal plus premium service platform build innovative state art application collaborate user experience ux team prepare maintain application utilizing standard development tool utilize backend data service contribute increase existing data service api lead entire web application development life cycle right concept stage delivery post launch support convey effectively task progress evaluation suggestion schedule along technical process issue experience working performing unit testing managing apis rest understanding fundamental design principle behind scalable application solve complex performance problem architectural challenge candidate knowledge user authentication authorization multiple system server environment candidate possessing skill front end vue j react j added advantage along development skill debugging skill required problem solving skill critical mindset candidate must sincere adaptive complaint nature appreciated must responsible timely delivery project per plan high degree accuracy convey effectively task progress evaluation suggestion schedule along technical process issue requirement qualification previous working experience php laravel developer minimum year b m degree computer science engineering depth knowledge object oriented php laravel php frameworkwhat offer competitive salary depending upon experience freedom personal growth development role peer learning environment manager invested employee growth australian holiday private health carework officewww cimet com aujob type full time regular permanentsalary per yearschedule day shiftability commute relocate jaipur rajasthan reliably commute planning relocate starting work required experience php year preferred laravel year preferred,2.4600000381469727,2,1100000.0,2,7.0,0,0,20,8,2405
back end app developer,anaya job solution,develop end end enterprise grade application using cutting edge version java stack translate application storyboards use case,3.8399999141693115,2,450000.0,0,0.800000011920929,1,0,32,1,125
java developer fresher,right soft option,testing debugging software application analyzing system user requirement software product writing clean scalable java code,3.5299999713897705,3,108000.0,0,2.240000009536743,0,0,11,67,122
trainee software developer fresher,xortix service pvt ltd,assisting senior business analysis live project writing custom function workflow deluge,4.059999942779541,1,132000.0,0,2.0999999046325684,1,2,19,265,87
python developer,lokdhun telemedia private limited,must experience designing developing complex application using django framework ability work project deadline efficiently,4.139999866485596,1,510000.0,0,2.0,0,0,32,1,121
u recruiter,skillmaze,responsible full cycle recruiting interview offer negotiation closed candidate assigned requisition total work year preferred,3.3299999237060547,2,380064.0,0,2.440000057220459,0,0,22,1222,125
artificial intelligence ai internship,greentech,student fresher apply selected intern day day responsibility include developing operating software used robot,3.950000047683716,1,96000.0,0,1.690000057220459,0,0,32,1,109
software developer,perion human capital solution,net android io trainee responsible work live project understand client requirement develop code customization exposure designing,3.509999990463257,1,350000.0,0,2.3399999141693115,0,0,26,63,128
assistant sale manager overseas ludhiana f,software company,endeavour make avanse brand first choice within customer segment respective branch provide guidance team daily monthly,3.369999885559082,842,425000.0,0,2.509999990463257,0,0,19,20,118
dot net developer,prorigo software private limited,sound programming fundamental exposure good programming practice design methodology net mvc web technology mandatory,3.4000000953674316,1,1000000.0,0,3.569999933242798,0,0,13,7,116
