Job_position,Company,Location,Salary,requirements
Wordpress Developer,Matrix Web Studio,"Sarai Rohila, Delhi","10,000 - 30,000 a month","Also, an understanding of the entire web development process, including design, development, and deployment is preferred."
Wordpress Developer,Anavclouds Software Solution Pvt. Ltd.,"Delhi, Delhi",100 - 367 an hour,"Experience- 3- 5 years of experience Skills Required- Wordpress, HTML/CSS, PHP Type- Company Domain- eCommerce a) Should be able to customize word press…"
Senior Android Developer,Parent Protect,"New Delhi, Delhi","13,366 - 47,443 a month",We are looking for an Android developer responsible for the development and maintenance of applications aimed at a vast number of diverse Android devices.
Angular Developer,Noovosoft,"Pune, Maharashtra","5,00,000 - 15,00,000 a year","Salary: ₹500,000.00 - ₹1,500,000.00 per year.Temporarily due to COVID-19."
Wordpress Developer,FabCoders,"Goa, Goa","15,000 - 30,000 a month",FabCoders is looking for experienced wordpress developers.Minimum 1 year experience is compulsory.Work can be from home (so anywhere in India is allowed).
Software Developer,Vipsa talent solutions,"Bengaluru, Karnataka","10,00,000 - 20,00,000 a year","Specifically, we are looking for JavaScript developers who have built a high-quality cross-platform desktop app using Electron framework."
Angular Developer,Ritaum Info Solutions,"Noida, Uttar Pradesh","20,000 - 60,000 a month","Knowledge/Experience on CSS 3 and HTML 5 design.Developer responsibilities include designing and developing high-volume, low-latency applications for mission…"
Software Developer,Roundpay Techno Media Pvt Ltd,"Lucknow, Uttar Pradesh","15,000 a month","Exp 1 to 2 Years.Salary: Up to ₹15,000.00 per month.Total work: 1 year (Preferred)."
Full Stack Developer,Bluethink IT Consulting Pvt Ltd,"Noida, Uttar Pradesh","7,00,000 a year",Knowledge of an advanced workflow using webpack/gulp module system.Understanding MVC design patterns Ability to build a one-page web app from scratch.
Experienced PHP Developer Required,Sanogic Technology and Consulting,"Delhi, Delhi","15,000 - 50,000 a month",Software development: 4 years (Required).Should be able to work and delivery project independently.Able to work under pressure and delivery project on time.
NodeJs (Android) Developer - Backend,perform digital private limited,"Bengaluru, Karnataka","9,89,699 a year","Total work: 3 years (Preferred).Extending the current backend and making changes to develop it, build, and optimize Back End for Mobile & Web applications."
Application Developers,Phonologies,"Pune, Maharashtra",-999,"We have openings for the following roles, where individuals will be developing Voice User Interfaces and Web Apps for telephone systems and mobile devices/apps."
SFDC Developer,Pure Software,"Noida, Uttar Pradesh",-999,"Proven ability to analyse, design, and optimize business processes via technology and integration.Understanding of object-oriented concepts and design patterns…"
.Net Developer,Infoneo Technologies Pvt. Ltd.,"Noida, Uttar Pradesh","6,00,000 a year","NET framework, SQL Server and design/architectural patterns (e.g. Model-View-Controller (MVC)).Capacity to use SQL or Oracle with ease."
"Web Developer Software Developer,",Myrealdata.,"Gurgaon, Haryana",-999,"Our expertise in cloud computing, cloud telephony & other IT services allows us to deliver solutions that simplify the business and enhance their performance."
Software Developer,Decimal Point Analytics,"Mumbai, Maharashtra",-999,"Translate application storyboards and use cases into functional applications.Ensure the best possible performance, quality, and responsiveness of the…"
Required Wordpress UI Developer - Urgently,Web Digital Media Group (Web Digitech IT Solutions...,"Noida, Uttar Pradesh","15,000 - 25,000 a month","Efficient in Wordpress and Core PHP Proficiency UI design in Photoshop or any latest design tool.Minimum 2 Years Experience in Wordpress.C 48, Sec 10 Noida."
Software Developer Trainee (LOCAL CANDIDATE PREFERRED),GEOS,"Irinjalakuda, Kerala","7,000 - 10,000 a month","Any bachelor's degree relation to development.Job Types: Full-time, Fresher.Salary: ₹7,000.00 - ₹10,000.00 per month."
Software Developer,VAIBHAV GEMS,"Amreli, Gujarat",-999,"We are looking for software developer.Skill Required - c#, oracle for desktop application.Exp required: 2 to 8 yrs.Fresher’s may also apply."
Software Engineer / Programmer Analyst,IDA Automation Pvt Ltd,"Bengaluru, Karnataka","22,000 - 40,000 a month","Python, QT/TCL Tk, Postgres, Sqlite, Selenium or Scrappy, Microservices.Expertise in Building Micro Services.Well versed in Python programming."
SQL Developer,Intellifour software,"Bengaluru, Karnataka","9,00,000 a year",Total work: 3 years (Preferred).We have immediate opportunity for SQL Developer for Bangalore location.Position : SQL Developer Location: Bangalore.
Software Developer,Cargoflash Infotech,"Gurgaon, Haryana",-999,"Design, code and test new web software applications.Enhance existing systems by analysing business objectives, preparing an action.Experience: 1 to 3 years."
Software Engineer,Tech mahindra,"Nagpur, Maharashtra",-999,"A Bachelor’s or Higher Degree is the minimum entry required for the position.SAP HCM, PS, PP, FICO.Position : SAP HCM, PS, PP, FICOJob Location : Kolkata /…"
Software Engineering - Database & Web Development,"JPMorgan Chase Bank, N.A.","Hyderabad, Telangana",-999,"You'll join an inspiring and curious team of technologists dedicated to improving the design, analytics, development, coding, testing and application…"
Dot Net Developer,Workstreet,Remote,"30,000 - 45,000 a month","You have 2 - 6 Years of experience working on Microsoft Dot Net based applications.You have strong programming and troubleshooting skills using C#, ASP."
Dot Net Developer,WSD Consultant,"Delhi, Delhi","1,75,000 - 6,00,000 a year","Knowledge in software design, object-oriented design and implementation techniques as well as n-tier application design.Candidate location (if any) NA."
ASP.NET Developer,surya marketing,"Delhi, Delhi","5,000 - 10,000 a month","We are an multi level marketing software development company, we are working in asp.net with c# and sql server.Job Types: Full-time, Internship, Fresher."
Angular Developer,EEN PLEK TECHNOLOGIES PRIVATE LIMITED,"Noida, Uttar Pradesh","2,77,633 - 5,00,000 a year","We are looking for an Angular Developer, who is good in Angular with UI component like jquery, grid's, graph's development.Application Deadline: 11/11/2020."
Software Developer,88 Pictures Media & Entertainment Pvt Ltd,"Andheri, Mumbai, Maharashtra",-999,"Software developer: 4 years (Required).Pipeline API and automation tools development using Python for DCC applications like Maya, Nuke & Gaffer."
Software Engineer Intern,Adhoc Softwares,"Coimbatore, Tamil Nadu",-999,Design and build software for current business projects.The Software Engineer Intern will learn and develop software implement processes to meet various…
Full Stack Developer,Bigwig Ship Management Pvt. Ltd.,"Greater Noida, Uttar Pradesh","6,00,000 - 10,00,000 a year","Angular Latest Technology (Version 7,8), ASP.Salary: ₹600,000.00 - ₹1,000,000.00 per year.Temporarily due to COVID-19."
Software Developer - Java /J2EE,"Nvision Solutions, Inc.",Remote,"8,00,000 a year",Ensure a timely delivery by developing using the best coding practices & in-house agile process.Bring expertise on Java /Java2EE platform and be responsible…
Software Engineer,AI Engineer,"Coimbatore, Tamil Nadu","17,000 - 25,000 a month",As an intern/fresh graduate you will be involved in the design and development of enterprise automation software.Published on : 24 minutes ago.
Software Developer,Greeksoft,"Mumbai, Maharashtra",-999,For all the positions both freshers and experienced candidates can apply.Send your resumes to hr@greeksoft.co.in with the following subject line: Title –…
Web Developer Intern,Cyber Flax Pvt. Ltd,"Indore, Madhya Pradesh","5,000 - 10,000 a month",Bonus: This is an internship + full-time offer.Cyber Flax is hiring the following positions Intern.If you hate the work around the work & just want to…
Software Engineering - PingFederate,"JPMorgan Chase Bank, N.A.","Hyderabad, Telangana",-999,"Our history spans over 200 years and today we are a leader in investment banking, consumer and small business banking, commercial banking, financial transaction…"
PHP Developer,Cog Digital Pvt Ltd.,"Dwarka, Delhi, Delhi","20,000 - 35,000 a month",Experience in PHP frameworks like Codeigniter or any other PHP based frameworks.2 years of experience in writing software code is mandatory.
Web Developer,ORANGE MEDIA MALAYSIA,"Bengaluru, Karnataka","6,000 - 7,000 a month","E-Commerce: 3 years (Preferred).Web Development: 3 years (Preferred).Php, Codeigniter (a must), ajax, mysql, javascript.Total work: 2 years (Preferred)."
AI/ML Developer,Siemens Technology and Services Private Limited,"Bengaluru, Karnataka",-999,You should have an Engineering Degree with 3+ years of experience in working on Machine Learning / Artificial Intelligence based applications and Minimum of 4…
PL/SQL Developer,Arthur Grand Technologies Inc,"Bengaluru, Karnataka",-999,In 2012 we are in the business of providing technology consulting.Benefits of doing business with us:Strives for optimum quality and timely delivery.
Software Development Internship,Optym,"Bengaluru, Karnataka","50,000 a month",Working with C# language for backend development 3.Designing and implementing algorithms and data structures 4.Only those students or freshers can apply who:
Application Developer: RPA,IBM,"Bengaluru, Karnataka",-999,"IBM Services is a team of business, strategy and technology consultants that design, build, and run foundational systems and services that is the backbone of…"
ASP.NET MVC Developer,Zenesys Technosys Pvt. Ltd,"Noida, Uttar Pradesh","18,000 - 60,000 a month","Code system enhancements and collaborate with other system developers (both onshore and offshore) to ensure deliverable adhere to quality security standards,…"
Fresher PHP Developer,Rudra Innovative Software Pvt Ltd,"Nagar, Rajasthan","10,000 - 25,000 a year","MySQL Database knowledge of all queries/joins and relational database design.Troubleshoot, test, and maintain the core product software and databases to ensure…"
Engineer Full Stack,Cognizant,"Pune, Maharashtra",-999,"Cognizant (Nasdaq-100: CTSH) is one of the world's leading professional services companies, transforming clients' business, operating and technology models for…"
Angular Developer,Smartbox,"Noida, Uttar Pradesh",-999,"2.Deep technical hands-on experience developing complex user interfaces using modern web development technologies (HTML5, CSS3, JavaScript), and front-end…"
SQL Developer,Saral ERP Solutions,"Victoria Park, Uttar Pradesh",-999,"You will also work with other developers optimizing in-application SQL statements as necessary, and establishing best practices."
Salesforce Developer,Mysense Technologies,"Mohali, Punjab","30,167 - 1,19,410 a month","Knowledge on Cloud Computing Technologies like Azure, Salesforce.Salesforce Platform Developer Certifications is Plus.Application Deadline: 13/1/2021."
Software Developer,Jignasa Techno Solutions,"Lalithanagaram, Andhra Pradesh","15,000 - 33,000 a month","Salary package : 15k in training period (6 months) then 2.80 lacs CTC.\*\*2 ½ years bond period\*\*.Eligibility : B tech / MCA , B.sc computer science 2017…"
iPhone Developer,Xicom Technologies Ltd.,"Delhi, Delhi","6,00,000 a year",Must have atleast 2+ published iPhone applications in the App store.Should have atleast 1 year experience in developing mobile applications for Phone/iPad.
Software Engineer / Software Developer : Angular and Node,Humanitics Dimensions Software Pvt. Ltd.,"New Delhi, Delhi",-999,Humanitics is looking for Software Engineers/Developers who have worked on Angular and Node.js for 4-8 years.Angular development: 4 years (Required).
ReactJS Developer,Acespritech Solutions Pvt. Ltd,"Gandhinagar, Gujarat",-999,Writing application interface codes using JavaScript following React.js workflows.Developing and implementing highly-responsive user interface components using…
Mobile Apps Developer,Larsen & Toubro Infotech Limited,India,-999,Work on software architecture and development of Hybrid Mobile applications and communicate technical limitations/roadblocks to the team.
Full Stack Developer,TRUETECH SERVICES PVT LTD,"Urban Estate Gurgaon, Haryana","22,009 - 71,039 a month",Total work: 3 years (Required).Prior knowledge and experience with AWS or firebase.Know how to instigate API.Expected Start Date: 30/12/2020.
Software Engineer/Programmer,URS Systems Private Limited,"Delhi, Delhi",-999,"Clearly sharing all knowledge in respect of the automation applications owned, in terms of code, application architecture, user-IDs, passwords, security related…"
Tibco Spotfire Developer,i2e Consulting,"Mumbai, Maharashtra","5,00,000 - 12,00,000 a year","Total work: 3 years (Preferred).Software development: 2 years (Required).Comprehensive knowledge of TIBCO Spotfire is required, including custom development,…"
Software Developer(PHP Web Developer),Shivangi Group of Management,"Noida, Uttar Pradesh","30,000 - 45,000 a month","Design and architect sturdy back end structure on MySQL Web development using WordPress technology*.Nature Analyze, Plan, architect the software application…"
Software Developer (MEAN Stack),StoreHippo,"Gurgaon, Haryana",-999,"Experience creating front end applications using HTML5, Angular.The project is based on the MEAN (MongoDB, Express.js, AngularJS, and Node.js) stack."
Front End Developer,Fantail Technologies Pvt. Ltd.,"Pune, Maharashtra","3,50,000 - 6,00,000 a year","We expect you to be a tech-savvy professional, who is curious about new digital technologies and aspires to combine usability with visual design."
Front End Developer,Quinn Care Private Limited,"Bengaluru, Karnataka","6,00,000 - 12,00,000 a year",Should have built web-apps/apps using ReactJS/Native and deployed them.Quinn is an early-stage startup founded by IIT Delhi & Microsoft alums.
Java Developer,access infotech Pvt. Ltd.,"Delhi, Delhi","72,000 - 96,000 a year",Hands on experience in designing and developing applications using Java EE platforms.Experience in developing web applications using at least one popular web…
Full Stack Developer,Techniek India,"Noida, Uttar Pradesh","40,000 - 50,000 a month",Build the front-end of applications through appealing visual design.Test software to ensure responsiveness and efficiency.
Web Designer & Developer,Shriv ComMedia Solutions Pvt Ltd,"Noida, Uttar Pradesh","20,000 - 40,000 a month","\*Demonstrable UI design skills with a strong portfolio.\*Solid experience in creating wireframes, storyboards, user flows, process flows and site maps."
Web Developer,Proton Expert Systems & Solutions,"Bengaluru, Karnataka","15,000 - 20,000 a month","We are hiring web/app developer for our company.Salary: ₹15,000.00 - ₹20,000.00 per month.CSS/CSS3: 1 year (Preferred).Total work: 1 year (Preferred)."
Node js developer,CodeBlock Technologies,"Noida, Uttar Pradesh","4,00,000 a year","Ensure the best possible performance, quality, and responsiveness of the applications.Make use of tools: Jira, Confluence, Git, IntelliJ, OSX."
Software Engineer (c++ / c# Developer),OEngines Game Studio,"Surat, Gujarat","8,000 - 40,000 a month","We are looking for a Software Developer, an IT professional who is responsible for managing the interchange of data.Proficient in Object Oriented-Programming."
Software Engineer c# developer,Proseon Technologies pvt. ltd.,"Vadodara, Gujarat","2,40,000 - 3,60,000 a year",Work on features of an innovative and complex client-server based graphics-oriented C#/.Desktop based application: 1 year (Preferred).
Software Developer,Profess Software Solutions Pvt Ltd,"Kochi, Kerala",-999,"Software development: 2 years (Preferred).NETWeb frameworksASP.NET MVC 1-5, ASP.NET Web API 1-2, ASP.NET Web Forms (old school)Desktop frameworksWPF, Windows…"
UI/UX Developer,UniHyr,"Gurgaon, Haryana",-999,Assure that all user input is validated before submitting to back-end.Responsibilities will include translation of the UI/UX design wireframes to actual code…
Software Engineer II - WEB,Microsoft,"Noida, Uttar Pradesh",-999,The ideal candidate should be able to quickly make an impact on the web team and work with the larger Flipgrid team to deliver an innovative and meaningful…
Flutter Developer,IT4T Solutions Pvt. Ltd.,"Noida, Uttar Pradesh","3,00,000 a year",Flutter developer for mobile app projects.Our Projects are developed using Web-API Services.Software development: 1 year (Preferred).
Software Developer,Advenith Technology Private Limited,"Delhi, Delhi",-999,Hello job seekers We at Advenith Technologies Pvt Ltd are hiring for the role of AngularJS developer on an urgent basis Looking for candidates who are having…
Full Stack Developer,Wear to fit,"Bengaluru, Karnataka","15,000 - 30,000 a month",We are looking for a full stack developer to develop a new product and upgrade our current product.Software development: 2 years (Preferred).
Associate Software Engineer,Calypso,"Mumbai, Maharashtra",-999,Our Development teams ensure that all code is delivered to clients with a highest quality.Product managers are a home of technical and capital market experts…
Wordpress Developer,"Key Computer Applications, UK","Bengaluru, Karnataka","20,000 - 60,000 a month",Wordpress Developer for an UK Client with minimum of 1year of experience.Rails on Ruby experience would add preference to the CV.
Software Developer- Javascript,Talentica Software India,India,-999,Solve critical business problems which help startups achieve their milestones.You will love this job if you are:Attitude to challenge the status quo.
Software Developer,Acute Solutions,"Bengaluru, Karnataka","30,000 - 35,000 a month","Researching, designing, implementing and managing software programs.Testing and evaluating new programs.Software Development Based On Requirements."
Senior Software Engineer (MSBI Developer),Clifford Chance LLP,"Delhi, Delhi",-999,"Senior Developer is the key contributor for Microsoft BI team who facilitates code productivity and quality using technology knowledge, problem solving skills…"
Software Developer,Junior Software Developer,"Mangalore, Karnataka","15,000 - 25,000 a month","Translate requirements into code and ensure product quality.Plus, if a candidate has an understanding of Frontend frameworks like React, Angular or Vue."
PHP Web Developer,Mixxkart,"Gorakhpur, Uttar Pradesh","1,09,109 a year",We are looking to hire a talented PHP Developer to manage our back-end services and ensure a seamless interchange of data between the server and our users.
Application Developer: ServiceNow,IBM,"Gurgaon, Haryana",-999,"Working closely with customers, business analysts, and team members to understand business requirements that drive the analysis and design of quality technical…"
Developer,Larsen & Toubro Infotech Limited,India,-999,"Document all mappings, mapplets, and rules in detail and hand over documentation to the customer Collaborate with various business and technical teams to gather…"
Process Developer - Accounts Payable,Genpact,"Noida, Uttar Pradesh",-999,"Genpact is an Equal Opportunity Employer and considers applicants for all positions without regard to race, color, religion or belief, sex, age, national origin…"
Angular Developer,Wasserstoff Private Limited,"Gurgaon, Haryana","5,00,000 a year",Designing and developing user interfaces using AngularJS best practices.Adapting interface for modern internet applications using the latest front-end…
Codeigniter Developer,Crossbolt IT Solutions,"Agra, Uttar Pradesh","9,272 - 40,239 a month",We research our client’s business to enable us to implement professional web development techniques to maximize our client’s business full potential on the…
Flutter developer,Roxarth Manhattan,"Delhi, Delhi","25,000 - 80,000 a month",Flutter developer to work remotely and be responsible for creating a hybrid application for both iOS and Android using Google’s Flutter development framework.
Software Developer Trainee,Umang Software,"Madgaon, Goa",-999,"Good undersatnding of basic concepts.Qualification: BE( Computers/ Information Technology), MCA, BCA, BSc (Computer Science)."
Software Engineer - Database Developer,Arezzo Sky,India,-999,"Optymyze enables the virtual workforce with Out-of-the-box workflow, reporting, and other user apps, Non-technical setup of data, rules, models, and apps, End…"
CodeIgniter Developer,Cartyou Pvt. Ltd.,"Pitampura, Delhi","20,430 - 30,000 a month","Assure that all user input is validated before submitting to the back-end.Expertise in PHP, MVC Frameworks, and good technology exposure of CodeIgniter…"
Sr. Software Developer,VRVirtual,"New Delhi, Delhi",-999,"Should have worked on cloud, web based multi-user environment using .Should be in habit of constantly upgrading knowledge levels and learning new things."
Apex_Application Developer,Fujitsu,"Noida, Uttar Pradesh",-999,"Oracle Apps techno Functional Finance and SCM.Oracle APEX Skill is Must, Should able to understand he client requirement and can work independently."
Junior Front End Developer,404 DM,"Chennai, Tamil Nadu","18,000 - 28,000 a month","As a Junior Web Developer, your focus will be on building and supporting the use of dynamic, content managed websites using open-source solutions."
Software Engineer (data sciences),Referral,"Bengaluru, Karnataka",-999,"Good knowledge on coding standards, design patterns, TDD ,Continuous Integration/Delivery pipelines .The models are built using massive datasets."
Software Test Engineer,Appquarterz,"Faridabad, Haryana","6,000 - 12,000 a month",All Platforms including Android & iPhone iPad OSX or any other mobile technology.We are looking for Fresher and Entry level candidates to work on Manual…
Software Developer,Asirix Infotech Pvt Ltd,"Bengaluru, Karnataka",-999,.net developer with 1 to 3 years of experience.Experience : 1 to 3 years.Candidates with Electronics background would be an ideal for this.
SAS Analytics Application Developer,Accenture,"Mumbai, Maharashtra",-999,"Project Role Description :Design, build and configure applications to meet business process and application requirements.Work Experience :4-6 years."
Software Developer,Amplinno India Pvt. Ltd,"Mumbai, Maharashtra","2,40,977 - 3,80,818 a year","Applicants who have done freelancing, multiple project and application development on their own are preferred.You must be knowing to code on Java platform."
Software Engineer,BizKracks Technologies,"Kochi, Kerala",-999,Candidate must be graduate in computer science with good communication skills and willing to learn new technologies.Expected Start Date: 01/01/2021.
Software Developer,WiseTech Global,"Bengaluru, Karnataka",-999,"NET environment, but if you’ve multiple tech skills, including: HTML, WPF, SQL, Web Services, UI/UX & Performance Analysis, we’d be able to use those too!"
UI Developer /Angular Developer,FocusIT Tech Systems Private Limited,"Hyderabad, Telangana","2,72,542 - 13,20,439 a year",Ü Designing and developing user interfaces using Angular best practices.Ü Adapting interface for modern internet applications using the latest front-end…
HTML Email Developer,Future India Services,"Jaipur, Rajasthan",-999,"Works with email designers, copywriters, and campaign managers to ensure all aspects of HTML emails conform to the team vision.Pay: ₹2.40 - ₹3.60 per year."
Software Developer Trainee,Saralpro Technologies,"Meerut, Uttar Pradesh",-999,"Tech/BCA/MCA/PGDCA (Fresher).Knowledge of database ( MS SQL, My SQL."
Software Engineer Intern,Enum Infotech LLP,"Calicut University, Kerala","10,000 a month",Ready to work on 3 months internship and absorption as employee after evaluation on skills.Graduate in computer science or Information technology.
Jr. Web Developer,Young Decade IT Software Solution,"Indore, Madhya Pradesh",-999,"We are hiring fresher for PHP Developer.Strong knowledge in C++ and php.Salary: ₹3,000.00 - ₹4,000.00 per year.JavaScript and jQuery: 1 year (Required)."
Assoc Front End Web Developer,Mast Global,"Bengaluru, Karnataka",-999,"Under the guidance of more senior developers work with creative and business partners to understand, build and adjust web application functionality and visual…"
Web Developer,india1cart,"RamamurthyNagar, Karnataka","20,000 a month","As the role takes into consideration user experience and function, a certain level of both graphic design and computer programming is necessary."
Part Time Senior Android Developer,www.bsslgroup.com,"Noida, Uttar Pradesh","30,000 a month","Solid background in software development, and design patterns.Must know how to work on Android Studio (Android Native Apps, knowledge of Hybrid will be an…"
Software Engineer (Front-End),Soroco,"Bengaluru, Karnataka",-999,"Clients to using HTML5, CSS, JavaScript and other front-end libraries or frameworks.The ideal Software Engineer (Front-End) is a creative person with an eye…"
Software Developer-ETL,Sapiens,"Bengaluru, Karnataka",-999,3-5 years of ETL developer experience.Work with business users to clarify ETL requirements and business rules.Experience with developing an ETL lifecycle.
Software Developer,Teamlease Digital Private Limited,"Bengaluru, Karnataka",-999,"Must be strong working experience in IDoc's.Must have good communication, interpersonal skills, good attitude, individual contributor, troubleshooting &…"
Junior .Net Developer,Impressico Business Solutions,"Noida, Uttar Pradesh",-999,1+ years of experience in IT software development using Microsoft technologies.1+ years of hands-on experience on software development in ASP.
Sr. RPA Developer,ServPRO,"Mumbai, Maharashtra","4,05,270 - 15,61,073 a year","Design, develop and deploy Robotics Process Automation (RPA) solutions using different tools, design principles and conventions Configure robotics processes and…"
Backend Developer,CYGEN CONSULTANCY PRIVATE LIMITED,"Hyderabad, Telangana","20,000 - 40,000 a month","3 year: 1 year (Required).Salary will vary based on experience.Relevant experience in Python, Django, Django rest framework & Git version control system."
Full Stack Developer (Fresher),Kognoz,"Bengaluru, Karnataka",-999,"You will primarily design and develop web, native mobile applications, and micro-services using JavaScript, Python, and related frameworks."
UI Developer / Frontend Developer,iTech Mission Pvt Ltd,"Delhi, Delhi","6,00,000 a year","The ideal candidate should have an eye for clean and artful design, possess superior UI skills and be able to translate high-level requirements into interaction…"
Full Stack Java Developer,HomeTriangle,"Bengaluru, Karnataka","4,00,000 a year",Familiarity with project models and object-oriented software development methods.Knowledge and experience in mobile app/web app development are an advantage.
Junior React Website Developer (Freshers to 2 year experienc...,Basidia Learning Pvt Ltd,"Bengaluru, Karnataka","25,000 - 30,000 a month",Focus on code quality and deliver projects with high business impact.Proven expertise in building customer-facing technology products for customers.
iOS Developer (Fresher-6Months),CodeNomad,"Mohali, Punjab","12,790 - 44,887 a month",\* Understanding of Apple’s design principles and interface guidelines.All the above requirements should be knowledge-based.Total work: 1 year (Preferred).
Software / Web Developer,GETWAY TECHNOLOGY,"Gurgaon, Haryana","1,80,000 - 2,40,000 a year","To encourage our people excel, we encourage an open door policy across all levels and our people's contribution on a wide range of office matters from client…"
Senior Software Developer (C#/.Net),SITA,India,-999,"You will be developing, testing and maintaining code on an n-tier client/server enterprise solution using the full Microsoft .Net-Stack.WHAT WILL YOU BE DOING:"
Web Developer,VA CSC PRIVATE LIMITED,"Delhi, Delhi","20,000 - 25,000 a month","Strive to create visually appealing sites that feature user-friendly design and clear navigation.Responsible For Website Developing, Coding, Fixing Errors,…"
Front End Developer,RaRa Delivery,"Delhi, Delhi","5,00,000 - 9,00,000 a year","Expert in using of design patterns, data structures and algorithms.We are a distributed team with the company headquartered in Singapore with main operations…"
MERN Stack Developer,Pinktech Design Private Limited,"Gurgaon, Haryana","10,00,000 a year",Produce high-quality code and experience with security implementations Identifying application security risks and implementing security patches procedures.
Senior Software Developer,Kredent InfoEdge Pvt. Ltd,"Kolkata, West Bengal","6,00,000 - 12,00,000 a year",We want to be the major catalyst for financial inclusion in India by focusing on learning and analytics using technology.TECH/MCA or any other related field.
UI Developer,Inncrewin Technologies PVT LTS,"Bengaluru, Karnataka","6,00,000 - 7,00,000 a year",Total work: 3 years (Preferred).Of course knowledge of JavaScript would also help in creating some animated graphics in the page if required.
Program and Project Management Application Developer,Accenture,"Bengaluru, Karnataka",-999,"Project Role Description :Design, build and configure applications to meet business process and application requirements.Work Experience :6-8 years."
Android Developer,SynapseIndia,"Noida, Uttar Pradesh","30,000 - 40,000 a month",Experience in building mobile applications using the android platform.Must have exposure towards client communication. and end to end project involvement.
PHP Web Developer,Kikde,"Paschim Vihar, Delhi, Delhi","15,000 - 40,000 a month",Software development: 2 years (Required).Candidates should be responsible for building and maintaining Web apps and should be excellent with analytical and…
Mainframe Developer | 4 to 6 years | Pune & Hyderabad,Capgemini,"Pune, Maharashtra",-999,Ability to develop technical design from functional specifications.Ability to do impact analysis for given functional / technical design.
.Net Senoir Software Developer,ThoughtFocus,"Gurgaon, Haryana",-999,"It helps clients in the financial services, manufacturing, education, aerospace and technology industries with their key business and technology challenges."
Database Developer,Policybazaar.com,India,-999,"Ensure applications, databases, and reports meet stakeholder needs.Analyse and tune database queries and design to improve performance."
Web Developer,Good Learning Pvt Ltd,"Panchkula, Haryana","50,000 - 60,000 a month","We are Hiring Web Developer with Knowledge of edX platform and full knowledge of Python and Jango for our organization.Pay: ₹50,000.00 - ₹60,000.00 per month."
Android Developer,Indee.tv,"Bengaluru, Karnataka","20,000 a year",You’ll also help ensure solid application performance and an excellent user experience.Hands-on experience in building mobile/tv applications and mobility…
OIC Developer,Greymatter,"Noida, Uttar Pradesh","2,74,826 a year","Timings: 8/9 p.m. to 4/5 a.m. daily*.Total work: 4 years (Required).Hands-on experience in Oracle integration cloud.Pay: From ₹274,826.00 per year."
HTML Developer,EI Design,India,-999,Maintain quality and ensure the responsiveness of applications across platforms.Should be able to communicate effectively (using both verbal and written…
Software Engineer - ASP.NET Developer,Evision Infotech Solution,"Gandhinagar, Gujarat",-999,"Developing web applications project at least one with (ASP.NET, C#, MVC).Configuration, code and test new Web or Windows applications.Should be a team player."
Web Developer and Designer,Dlabs Studios PVT LTD,"Pune, Maharashtra","12,000 - 30,000 a month","The position will be of a front end web developer, for our company, well versed with web languages of today including WordPress, HTML5, CSS3 and JavaScript."
Senior Unity Developer,Monkhub Innovations Private Limited,"Delhi, Delhi","6,00,000 - 9,00,000 a year",Familiarity with current design and architectural patterns.Transforming design ideas into functional games.Total work: 3 years (Required).
Front End Web Developer,Memat Digi,"Pitampura, Delhi",-999,"Our crew is made up of digital strategists, records architects, analysts, writers, developers and engineers all passionate about riding results for our…"
Software Developer,ISBM,"Bhayandar, Maharashtra","15,000 - 25,000 a month","Understands project and development plans and is able to clearly articulate roles, project goals, and timelines.Accurately employs our development tools."
Node js developer,WeDigTech,"Jaipur, Rajasthan","20,000 - 45,000 a month","Integration of user-facing elements developed by front-end developers with server-side logic.Design and implementation of low-latency, high-availability, &…"
ML Software Engineer,Cargill,"Bengaluru, Karnataka",-999,Anticipate and adopt innovations in business-building digital and technology applications.We seek a creative professional who can build software prototypes to…
Software Engineer - Frontend,Postman,"Bengaluru, Karnataka",-999,Strong product and design sensibilities and an obsessive attention to detail.2+ years of hands-on experience building applications on the web platform with…
Node JS Developer,RannLab Technologies,"Agra, Uttar Pradesh","2,40,000 - 5,40,000 a year",Collaborate with Front-end developers to integrate user-facing elements with server side logic.Proven work experience as a Back-end developer.
Full Stack Developer,WITS INNOVATION LAB,"Mohali, Punjab","20,000 - 80,000 a month","We are maintaining social distance in our office premises , using mask and sanitizing hands frequently.Unit Testing (Jest), NoSQL database technology like…"
Software Test Engineer,Sarvodaya Infotech Pvt Ltd,"Ghaziabad, Uttar Pradesh","5,000 - 8,000 a month",Working with software developers and project support teams;Monitoring applications and software systems;Providing objective feedback to software development…
Software Developer - Dotnet,Pattern Web,"Delhi, Delhi","4,00,000 - 7,00,000 a year","Be a key part of the full product development life cycle of software applications.Experience in architecting and implementing highly scalable, high throughput…"
Software Developer,Kavya Management Services,"Lucknow, Uttar Pradesh","5,70,000 a year","Company runs e-learning solutions, and the candidate should be able to translate all user and business needs into an.Innovative and practical app design."
Web Developer,Grepthor Software Solutions Pvt Ltd,"Hyderabad, Telangana","8,448 - 34,311 a month",\* Create website layout/user interface by using standard HTML/CSS practices Integrate data from various back-end services and databases.
Angular Developer,Giant Leap Systems Private Limited,"Pune, Maharashtra","6,00,000 - 10,00,000 a year","We are looking for Angular developer with 3-5 years of experience.Must have ability to pick up a project, handle a team."
